shamsi_year_month,y,yhat,yhat_lower,yhat_upper,category
(1403-05),8656.0,8745.139463120375,6725.269356849314,10762.814001889583,باربری و جابجایی
(1403-06),9077.0,8789.385006927323,6772.399623396053,10820.994529008787,باربری و جابجایی
(1403-07),7086.0,7034.308861289926,5093.67039901166,8989.37396505308,باربری و جابجایی
(1403-08),6468.0,6583.713753180103,4618.474980457513,8512.696979541104,باربری و جابجایی
(1403-09),6098.0,6307.62282912748,4360.538967679019,8257.873144553338,باربری و جابجایی
(1403-10),6952.0,6741.972034858701,4800.056099573764,8688.201548147495,باربری و جابجایی
(1403-11),7878.0,7417.309358015527,5455.563585430584,9358.910711184628,باربری و جابجایی
(1403-12),9859.0,8410.49141126372,6421.172619213405,10338.647868445874,باربری و جابجایی
(1404-01),4329.0,6020.842138950784,4008.406051191427,8026.381505416187,باربری و جابجایی
(1404-02),7817.0,8222.84929922575,6195.025766461289,10254.385103957327,باربری و جابجایی
(1404-03),9884.0,10263.388722289772,8252.633177546153,12288.814811740636,باربری و جابجایی
(1404-04),10852.0,11516.195163714949,9490.56329516264,13512.024132739798,باربری و جابجایی
(1404-05),12518.0,11804.820738653907,9797.169541430423,13841.093345811249,باربری و جابجایی
(1404-06),12351.0,11491.233207539155,9478.060203457666,13506.632405638597,باربری و جابجایی
(1404-07),10493.0,9843.639944447239,7889.316510492304,11794.532071359572,باربری و جابجایی
(1404-08),9876.0,9531.647260329195,7575.030915809104,11494.809635648453,باربری و جابجایی
(1404-09),0.0,8918.611835448144,6975.914675519311,10852.91124563739,باربری و جابجایی
(1404-10),0.0,9597.748891676065,7648.783979218338,11581.098978933716,باربری و جابجایی
